# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	389086
#@/user_id	mac
a 	啊	c=2090 d=6.0343 t=389086
bu deng 	不等	c=2 d=1.97814e-231 t=389086
bu deng lu 	不登录	c=4 d=1.28512e-10 t=389086
bu diao 	不掉	c=7 d=4.33053e-155 t=389086
bu die 	不跌	c=1 d=1.39644e-193 t=389086
bu ding 	不定	c=1 d=0 t=389086
bu ding 	补丁	c=10 d=4.74885e-181 t=389086
bu diu shi 	不丢失	c=1 d=3.43805e-87 t=389086
bu dong 	不动	c=19 d=0.045502 t=389086
bu dong 	不懂	c=65 d=8.60308e-12 t=389086
bu dou 	布兜	c=2 d=0 t=389086
bu dou hui 	不都会	c=1 d=0 t=389086
bu dou shi 	不都是	c=40 d=1.64245e-14 t=389086
bu dou yao dai 	不都要带	c=1 d=1.51355e-23 t=389086
bu dou you 	不都有	c=2 d=2.46825e-100 t=389086
bu dui 	不对	c=195 d=0.00189294 t=389086
bu dui jin 	不对劲	c=11 d=1.28237e-73 t=389086
bu dui qi 	不对器	c=1 d=6.35061e-218 t=389086
bu duo 	不多	c=28 d=7.70747e-05 t=389086
bu duo shuo 	不多说	c=1 d=0 t=389086
bu fa 	不发	c=27 d=4.65436e-07 t=389086
bu fa 	补发	c=44 d=0.744532 t=389086
bu fan hui 	不返回	c=6 d=9.8284e-62 t=389086
bu fan kui 	不反馈	c=1 d=0 t=389086
bu fang 	不妨	c=1 d=1.45883e-266 t=389086
bu fang bian 	不方便	c=8 d=1.44444e-32 t=389086
bu fang jia 	不放假	c=1 d=2.51754e-303 t=389086
bu fen 	不分	c=23 d=5.62208e-20 t=389086
bu fen 	部分	c=40 d=0.000106361 t=389086
bu fen lei 	不分类	c=1 d=1.37452e-154 t=389086
bu fu 	不服	c=1 d=0 t=389086
bu fu gai 	不覆盖	c=1 d=2.79225e-198 t=389086
bu fu za 	不复杂	c=1 d=0.00139481 t=389086
bu gai 	不改	c=19 d=0.000113495 t=389086
bu gai 	不该	c=1 d=1.678e-295 t=389086
bu gan 	不干	c=1 d=1.40906e-05 t=389086
bu gan 	不敢	c=16 d=0.0485578 t=389086
bu gan zhi xin 	不敢置信	c=1 d=5.49524e-75 t=389086
bu gao 	不搞	c=1 d=1.92092e-268 t=389086
bu gao 	不高	c=5 d=2.60664e-36 t=389086
bu gao su 	不告诉	c=1 d=3.43651e-23 t=389086
bu ge shi 	不格式	c=1 d=1.57132e-140 t=389086
bu gei 	不给	c=4 d=8.93008e-52 t=389086
bu gei ni 	不给你	c=1 d=5.9964e-43 t=389086
bu gei qian 	不给签	c=1 d=2.59011e-20 t=389086
bu gei wo 	不给我	c=3 d=2.44468e-46 t=389086
bu gen 	不跟	c=1 d=6.9916e-261 t=389086
bu gen ta 	不跟他	c=1 d=7.06369e-29 t=389086
bu gen wo men 	不跟我们	c=1 d=1.33059e-213 t=389086
bu geng 	不更	c=1 d=1.7883e-103 t=389086
bu geng hao 	不更好	c=1 d=2.47677e-258 t=389086
bu geng xin 	不更新	c=6 d=1.2341e-15 t=389086
bu geng xin le 	不更新了	c=1 d=1.61171e-262 t=389086
bu gong ping 	不公平	c=1 d=1.41095e-197 t=389086
bu gong xiang 	不共享	c=1 d=0 t=389086
bu gou 	不够	c=36 d=0.337902 t=389086
bu gou yong 	不够用	c=2 d=1.19256e-248 t=389086
bu gu ding 	不固定	c=1 d=1.69319e-254 t=389086
bu guai 	不怪	c=2 d=3.03655e-126 t=389086
bu guan 	不关	c=2 d=0 t=389086
bu guan 	不惯	c=1 d=0 t=389086
bu guan 	不管	c=34 d=0.502743 t=389086
bu guan xin 	不关心	c=6 d=3.48964e-27 t=389086
bu guan zhu 	不关注	c=1 d=1.5586e-162 t=389086
bu guang 	不光	c=13 d=8.8352e-44 t=389086
bu guang shi 	不光是	c=3 d=1.33899e-140 t=389086
bu gui 	不贵	c=1 d=5.76586e-258 t=389086
bu gui fan 	不规范	c=2 d=7.04882e-63 t=389086
bu guo 	不过	c=709 d=1.30845 t=389086
bu guo lai 	不过来	c=2 d=1.37522e-160 t=389086
bu guo lv 	不过滤	c=6 d=2.84513e-51 t=389086
bu guo ni 	不过你	c=1 d=1.48309e-166 t=389086
bu guo qi 	不过期	c=1 d=6.99279e-263 t=389086
bu guo wo 	不过我	c=1 d=1.83863e-106 t=389086
bu hai shi 	不还是	c=7 d=2.37614e-35 t=389086
bu hai shuo 	不还说	c=1 d=1.64006e-85 t=389086
bu hao 	不好	c=104 d=1.59746 t=389086
bu hao an 	不好按	c=1 d=0 t=389086
bu hao ban 	不好搬	c=1 d=0 t=389086
bu hao cha 	不好查	c=1 d=7.00828e-289 t=389086
bu hao dui 	不好对	c=1 d=1.18855e-179 t=389086
bu hao kan 	不好看	c=1 d=1.5184e-90 t=389086
bu hao pao 	不好跑	c=1 d=3.16201e-308 t=389086
bu hao shuo 	不好说	c=45 d=2.64657e-09 t=389086
bu hao yong 	不好用	c=29 d=2.97348e-85 t=389086
bu he 	不合	c=1 d=5.0454e-129 t=389086
bu he 	不喝	c=3 d=3.51815e-152 t=389086
bu he fa 	不合法	c=1 d=0 t=389086
bu he shi 	不核实	c=1 d=0 t=389086
bu hua suan 	不划算	c=1 d=1.33752e-39 t=389086
bu huan 	不换	c=5 d=1.83457e-80 t=389086
bu huang 	不慌	c=7 d=4.61237e-65 t=389086
bu hui 	不会	c=575 d=0.769569 t=389086
bu hui 	不回	c=5 d=8.99815e-200 t=389086
bu hui ba 	不会吧	c=1 d=0 t=389086
bu hui gei 	不会给	c=1 d=8.86777e-146 t=389086
bu hui qu 	不回去	c=1 d=1.18884e-270 t=389086
bu hui shi 	不会是	c=5 d=1.35672e-89 t=389086
bu hui ta 	不会他	c=1 d=2.5487e-95 t=389086
bu hui yong 	不会用	c=2 d=4.11999e-10 t=389086
bu hui you 	不会有	c=3 d=6.01158e-249 t=389086
bu huo 	捕获	c=3 d=4.67947e-84 t=389086
bu huo qu 	不活去	c=1 d=1.27768e-265 t=389086
bu huo yue 	不活月	c=1 d=2.95453e-98 t=389086
bu ji 	不急	c=23 d=1.46502e-22 t=389086
bu ji de 	不记得	c=1 d=2.47163e-263 t=389086
bu ji shi 	不及时	c=2 d=1.78101e-55 t=389086
bu ji shi de 	不及时的	c=1 d=0 t=389086
bu ji zhong 	不集中	c=1 d=1.99482e-124 t=389086
bu jia 	不加	c=19 d=1.9023e-36 t=389086
bu jia ban 	不加班	c=2 d=1.98662e-105 t=389086
bu jian 	不见	c=9 d=1.46657e-05 t=389086
bu jian de 	不见得	c=2 d=1.51926e-299 t=389086
bu jian kang 	不健康	c=2 d=3.55455e-196 t=389086
bu jian rong 	不兼容	c=9 d=4.4501e-05 t=389086
bu jiao 	不交	c=3 d=9.14095e-150 t=389086
bu jiao 	不叫	c=3 d=1.18795e-108 t=389086
bu jiao wo 	不叫我	c=2 d=6.1e-260 t=389086
bu jiao yan 	不校验	c=1 d=5.16525e-258 t=389086
bu jie 	不接	c=3 d=2.10767e-95 t=389086
bu jie hun 	不结婚	c=4 d=5.71214e-148 t=389086
bu jin lai 	不进来	c=1 d=8.55431e-105 t=389086
bu jin qu 	不进去	c=4 d=2.36004e-102 t=389086
bu jiu 	不久	c=17 d=6.84052e-05 t=389086
bu jiu 	不就	c=23 d=4.21394e-32 t=389086
bu jiu shi 	不就是	c=45 d=0.00122429 t=389086
bu jiu xing 	不就行	c=3 d=1.15546e-141 t=389086
bu ju 	布局	c=8 d=7.06444e-89 t=389086
bu jun 	不均	c=1 d=4.7949e-30 t=389086
bu ka 	不卡	c=22 d=0.000352662 t=389086
bu kai 	不开	c=9 d=0.00222055 t=389086
bu kan 	不看	c=2 d=2.83705e-150 t=389086
bu kao 	补考	c=1 d=2.33601e-158 t=389086
bu kao lv 	不考虑	c=2 d=0.00228818 t=389086
bu ke 	不可	c=17 d=0.000608204 t=389086
bu ke 	补课	c=1 d=0 t=389086
bu ke jian 	不可见	c=4 d=7.95868e-197 t=389086
bu ke kao 	不可靠	c=1 d=0 t=389086
bu ke neng 	不可能	c=32 d=7.56298e-09 t=389086
bu ke xue 	不科学	c=1 d=1.70536e-15 t=389086
bu ke yi 	不可以	c=1 d=0 t=389086
bu ke yong 	不可用	c=1 d=0 t=389086
bu kui 	不亏	c=2 d=2.84824e-20 t=389086
bu kui 	不愧	c=5 d=2.95824e-54 t=389086
bu lai 	不来	c=5 d=6.7904e-06 t=389086
bu li 	不理	c=2 d=0.00242967 t=389086
bu li jie 	不理解	c=3 d=0.00146632 t=389086
bu lian 	不练	c=1 d=3.15456e-104 t=389086
bu liao 	不了	c=326 d=0.759845 t=389086
bu ling 	不灵	c=1 d=0 t=389086
bu lu 	补录	c=1 d=2.66768e-308 t=389086
bu luo fen 	布洛芬	c=2 d=0 t=389086
bu ma ta 	不骂他	c=1 d=0 t=389086
bu mai 	不买	c=3 d=2.8199e-20 t=389086
bu mai 	不卖	c=3 d=1.62429e-171 t=389086
bu man 	不满	c=1 d=0 t=389086
bu man zu 	不满足	c=3 d=4.22738e-283 t=389086
bu mang 	不忙	c=1 d=5.78922e-188 t=389086
bu men 	部门	c=20 d=4.22357e-08 t=389086
bu ming 	不明	c=1 d=1.51737e-82 t=389086
bu na 	不拿	c=1 d=0 t=389086
bu nan 	不难	c=2 d=2.88385e-166 t=389086
bu nei zhi 	不内置	c=1 d=2.95783e-23 t=389086
bu neng 	不能	c=532 d=1.19168 t=389086
bu neng bi 	不能比	c=1 d=0 t=389086
bu neng shang 	不能上	c=1 d=1.87731e-145 t=389086
bu neng shi 	不能是	c=1 d=0 t=389086
bu neng shuo 	不能说	c=6 d=7.22434e-117 t=389086
bu neng yong 	不能用	c=50 d=5.69813e-31 t=389086
bu pa 	不怕	c=12 d=1.04308e-55 t=389086
bu pai xu 	不排序	c=1 d=3.09769e-184 t=389086
bu pei 	不配	c=3 d=0.00104368 t=389086
bu pei zhi 	不配置	c=2 d=6.47071e-115 t=389086
bu pi pei 	不匹配	c=35 d=0.212752 t=389086
bu qi 	不起	c=26 d=4.55252e-08 t=389086
bu qi 	补齐	c=12 d=6.5712e-110 t=389086
bu qi dong 	不启动	c=1 d=8.11274e-11 t=389086
bu qi zuo yong 	不起作用	c=1 d=0 t=389086
bu qing 	不清	c=5 d=3.65301e-124 t=389086
bu qing chi shi 	不清吃屎	c=1 d=0 t=389086
bu qing chu 	不清楚	c=4 d=1.30918e-228 t=389086
bu qing jia 	不请假	c=1 d=9.31617e-285 t=389086
bu qu 	不去	c=7 d=0.319819 t=389086
bu qu fen 	不去分	c=2 d=6.16777e-286 t=389086
bu quan 	不全	c=20 d=1.98162e-46 t=389086
bu quan 	补全	c=163 d=1.7022e-10 t=389086
bu que 	不缺	c=1 d=6.35818e-232 t=389086
bu que ding 	不确定	c=11 d=4.85118e-79 t=389086
bu ran 	不然	c=221 d=1.13543 t=389086
bu ran jiu 	不然就	c=1 d=1.1313e-69 t=389086
bu rang 	不让	c=27 d=5.75521e-60 t=389086
bu rang wo 	不让我	c=1 d=5.10582e-122 t=389086
bu rang yong 	不让用	c=1 d=8.16147e-52 t=389086
bu rang zhuang 	不让装	c=1 d=0 t=389086
bu ren shi 	不认识	c=1 d=1.48328e-50 t=389086
bu rong yao 	不容要	c=1 d=0 t=389086
bu ru 	不入	c=1 d=1.39996e-252 t=389086
bu ru 	不如	c=57 d=0.529935 t=389086
bu ru 	步入	c=1 d=3.47677e-248 t=389086
bu sha 	不杀	c=3 d=3.13423e-28 t=389086
bu shang 	不上	c=34 d=0.0780903 t=389086
bu shang ban 	不上办	c=6 d=2.7219e-45 t=389086
bu shang bao 	不上报	c=2 d=3.46332e-253 t=389086
bu shang ke 	不上可	c=1 d=8.72238e-128 t=389086
bu shang lai 	不上来	c=1 d=2.44611e-141 t=389086
bu shang xue 	不上学	c=1 d=3.49179e-93 t=389086
bu shao 	不少	c=76 d=0.491654 t=389086
bu she zhi 	不设置	c=6 d=4.36838e-81 t=389086
bu sheng 	不生	c=2 d=3.85905e-240 t=389086
bu sheng cheng 	不生成	c=1 d=3.61842e-306 t=389086
bu sheng ji 	不升级	c=2 d=7.46036e-201 t=389086
bu sheng xiao 	不生小	c=3 d=1.64565e-125 t=389086
bu shi 	不是	c=2400 d=2.83559 t=389086
bu shi ba 	不是叭	c=1 d=2.00011e-67 t=389086
bu shi cheng 	不是成	c=1 d=0 t=389086
bu shi ni zai shuo xie shen me 	不是你在说些什么	c=1 d=0 t=389086
bu shi shuo 	不是说	c=1 d=3.20619e-236 t=389086
bu shou 	不受	c=4 d=1.14521e-95 t=389086
bu shu 	部署	c=138 d=2.75771e-32 t=389086
bu shu fu 	不舒服	c=6 d=5.83089e-96 t=389086
bu shu shi 	不数是	c=1 d=0 t=389086
bu shua ti 	不刷题	c=1 d=1.89754e-271 t=389086
bu shuang 	不爽	c=8 d=5.1377e-107 t=389086
bu shui 	不睡	c=1 d=2.13388e-299 t=389086
bu shui jiao 	不睡觉	c=1 d=3.69589e-173 t=389086
bu shuo 	不说	c=15 d=9.64659e-107 t=389086
bu shuo hua 	不说话	c=1 d=6.93405e-252 t=389086
bu si 	不死	c=6 d=1.8496e-29 t=389086
bu si jin qu 	不思进取	c=1 d=0 t=389086
bu suan 	不算	c=28 d=0.467666 t=389086
bu tai 	不太	c=210 d=0.0895016 t=389086
bu tai dong 	不太懂	c=4 d=3.36871e-112 t=389086
bu tai dui 	不太对	c=12 d=1.421e-16 t=389086
bu tai fang bian 	不太方便	c=1 d=0.726149 t=389086
bu tai gou 	不太够	c=2 d=2.24563e-135 t=389086
bu tai hao 	不太好	c=32 d=0.119433 t=389086
bu tai hao gao 	不太好搞	c=1 d=0 t=389086
bu tai hao yong 	不太好用	c=1 d=6.97869e-63 t=389086
bu tai hui 	不太会	c=1 d=3.47426e-122 t=389086
bu tai ke neng 	不太可能	c=1 d=1.56892e-269 t=389086
bu tai neng 	不太能	c=5 d=2.68749e-13 t=389086
bu tai qing chu 	不太清楚	c=5 d=0.00357068 t=389086
bu tai suan 	不太算	c=1 d=3.43768e-27 t=389086
bu tai xing 	不太行	c=34 d=0.147342 t=389086
bu tai yi yang 	不太一样	c=8 d=1.36631e-113 t=389086
bu tao hao 	不讨好	c=1 d=9.93676e-279 t=389086
bu ti 	不提	c=1 d=0 t=389086
bu ti gong 	不提供	c=1 d=4.29634e-150 t=389086
bu tian 	不填	c=25 d=1.97083e-36 t=389086
bu tian jia 	不添加	c=1 d=1.5445e-114 t=389086
bu tiao 	不跳	c=1 d=2.58443e-288 t=389086
bu tie 	补贴	c=8 d=5.37012e-10 t=389086
bu ting 	不听	c=3 d=3.09187e-15 t=389086
bu tong 	不同	c=213 d=0.905462 t=389086
bu tong 	不通	c=9 d=1.12043e-73 t=389086
bu tong yi 	不同意	c=1 d=0 t=389086
bu tui 	不退	c=1 d=1.174e-93 t=389086
bu tui chu 	不退出	c=1 d=1.99936e-92 t=389086
bu tui song 	不推送	c=1 d=4.62181e-68 t=389086
bu tuo 	不妥	c=1 d=7.94007e-287 t=389086
bu wan 	不完	c=14 d=2.73703e-22 t=389086
bu wan 	不玩	c=14 d=2.07771e-39 t=389086
bu wan mei 	不完美	c=1 d=4.07331e-23 t=389086
bu wei 	不为	c=21 d=0.0287246 t=389086
bu wei hu 	不维护	c=6 d=3.35042e-48 t=389086
bu wei kong 	不为空	c=5 d=3.94746e-183 t=389086
bu wen 	不稳	c=1 d=4.11442e-141 t=389086
bu xi 	不洗	c=1 d=2.49876e-215 t=389086
bu xi guan 	不习惯	c=5 d=3.6882e-31 t=389086
bu xi huan 	不喜欢	c=24 d=4.67716e-61 t=389086
bu xia 	不下	c=2 d=2.52447e-159 t=389086
bu xia ban 	不下办	c=4 d=1.02956e-36 t=389086
bu xia diao 	不下掉	c=1 d=6.23965e-99 t=389086
bu xia lai 	不下来	c=2 d=2.43598e-151 t=389086
bu xia qu 	不下去	c=4 d=8.2077e-89 t=389086
bu xian 	不限	c=2 d=6.3376e-47 t=389086
bu xian mu 	不羡慕	c=1 d=2.49342e-278 t=389086
bu xian shi 	不显示	c=8 d=9.85791e-156 t=389086
bu xian zhi 	不限制	c=4 d=5.70104e-37 t=389086
bu xiang 	不像	c=16 d=1.04981e-13 t=389086
bu xiang 	不想	c=32 d=0.0561348 t=389086
bu xiang qu 	不想去	c=1 d=4.21786e-139 t=389086
bu xiang shang ban 	不想上班	c=1 d=0 t=389086
bu xiang yao 	不想要	c=1 d=5.79034e-14 t=389086
bu xiang yong 	不想用	c=3 d=7.58828e-107 t=389086
bu xiao 	不小	c=2 d=0.257947 t=389086
bu xiao xin 	不小心	c=3 d=3.82164e-08 t=389086
bu xie 	不写	c=7 d=4.37742e-13 t=389086
bu xie 	不屑	c=1 d=6.25712e-220 t=389086
bu xin 	不信	c=3 d=2.08047e-148 t=389086
bu xing 	不幸	c=1 d=0 t=389086
bu xing 	不行	c=477 d=2.34811 t=389086
bu xing 	不醒	c=1 d=0 t=389086
bu xing 	步行	c=1 d=7.9703e-126 t=389086
bu xing chu 	不行出	c=1 d=0 t=389086
bu xing kan 	不行看	c=2 d=8.49806e-145 t=389086
bu xu 	不许	c=7 d=6.70582e-123 t=389086
bu xu die 	不许跌	c=1 d=5.2465e-177 t=389086
bu xu yao 	补虚药	c=1 d=1.0784e-35 t=389086
bu xu yue 	不续约	c=4 d=1.21963e-21 t=389086
bu xuan 	不选	c=5 d=1.01843e-09 t=389086
bu xue 	不学	c=2 d=4.71166e-118 t=389086
bu yan 	不严	c=1 d=1.17776e-160 t=389086
bu yan zhong 	不严重	c=1 d=1.5241e-134 t=389086
bu yang wei 	不阳痿	c=1 d=3.52006e-129 t=389086
bu yao 	不要	c=87 d=0.142288 t=389086
bu yao fa 	不要发	c=5 d=1.29333e-26 t=389086
bu yao qian 	不要钱	c=1 d=0 t=389086
bu yao wen 	不要问	c=1 d=0 t=389086
bu yao you 	不要有	c=1 d=5.30533e-73 t=389086
bu ye 	不也	c=5 d=1.05614e-166 t=389086
bu ye neng 	不也能	c=1 d=5.6659e-170 t=389086
bu ye shi 	不也是	c=2 d=1.79573e-93 t=389086
bu ye yao 	不也要	c=1 d=3.44793e-297 t=389086
bu ye you 	不也有	c=1 d=2.63284e-36 t=389086
bu yi hui 	不一会	c=3 d=4.89863e-164 t=389086
bu yi lai 	不依赖	c=2 d=6.64652e-195 t=389086
bu yi zhi 	不一直	c=1 d=1.53294e-202 t=389086
bu ying gai 	不应该	c=78 d=1.42611e-07 t=389086
bu ying xiang 	不影响	c=48 d=7.47857e-24 t=389086
bu yong 	不用	c=749 d=1.02756 t=389086
bu yong bao 	不用报	c=1 d=8.68535e-78 t=389086
bu yong gai 	不用改	c=6 d=8.29073e-31 t=389086
bu yong guan 	不用管	c=8 d=8.27522e-09 t=389086
bu yong kan 	不用看	c=1 d=0 t=389086
bu yong pa 	不用怕	c=1 d=0 t=389086
bu yong tian 	不用填	c=1 d=0 t=389086
bu za di 	不咋低	c=3 d=3.02177e-290 t=389086
bu za kan 	不咋看	c=1 d=3.81871e-234 t=389086
bu za xing 	不咋行	c=1 d=2.04387e-292 t=389086
bu za yang 	不咋样	c=1 d=7.9581e-108 t=389086
bu za yong 	不咋用	c=3 d=2.17585e-274 t=389086
bu zai 	不再	c=8 d=6.01402e-195 t=389086
bu zai 	不在	c=16 d=4.02169e-20 t=389086
bu zai xian 	不在线	c=15 d=2.00513e-06 t=389086
bu zao 	不早	c=2 d=4.06267e-51 t=389086
bu zao dian 	不早点	c=2 d=4.23848e-207 t=389086
bu zhan shi 	不展示	c=27 d=6.37484e-07 t=389086
bu zhang 	不涨	c=5 d=6.20154e-27 t=389086
bu zhang 	不长	c=2 d=0.802519 t=389086
bu zhao 	不着	c=5 d=2.41544e-169 t=389086
bu zhe teng 	不折腾	c=4 d=1.10402e-164 t=389086
bu zhe yang 	不这样	c=2 d=1.29614e-81 t=389086
bu zheng chong 	不争宠	c=1 d=1.76175e-221 t=389086
bu zheng que 	不正确	c=5 d=1.95019e-05 t=389086
bu zheng shi 	不正是	c=1 d=6.62844e-163 t=389086
bu zhi 	不只	c=22 d=1.42071e-43 t=389086
bu zhi 	不止	c=3 d=6.10654e-110 t=389086
bu zhi 	不知	c=1 d=0 t=389086
bu zhi chi 	不支持	c=142 d=1.02127e-10 t=389086
bu zhi dao 	不知道	c=384 d=0.260118 t=389086
bu zhi shi 	不只是	c=5 d=3.09275e-224 t=389086
bu zhi yu 	不至于	c=17 d=2.33639e-13 t=389086
bu zhong 	不重	c=2 d=5.6767e-163 t=389086
bu zhu 	不住	c=64 d=7.60855e-30 t=389086
bu zhu 	补助	c=2 d=0 t=389086
bu zhu yi 	不注意	c=1 d=5.93982e-196 t=389086
bu zhuan qian 	不赚钱	c=7 d=1.21991e-15 t=389086
bu zhuang 	不装	c=5 d=1.19849e-130 t=389086
bu zhun 	不准	c=17 d=4.81304e-45 t=389086
bu zou 	不走	c=15 d=1.30587e-22 t=389086
bu zu 	不足	c=6 d=1.72637e-12 t=389086
bu zuo 	不做	c=5 d=4.12323e-78 t=389086
bu zuo wei 	不作为	c=1 d=1.03711e-105 t=389086
ca 	擦	c=1 d=8.20664e-205 t=389086
ca bian 	擦边	c=3 d=5.08361e-12 t=389086
cai 	彩	c=28 d=0.00995182 t=389086
cai 	才	c=353 d=0.441116 t=389086
cai 	猜	c=6 d=5.22562e-42 t=389086
cai 	菜	c=26 d=0.533725 t=389086
cai 	裁	c=77 d=3.67499e-21 t=389086
cai 	踩	c=5 d=6.25707e-73 t=389086
cai bao 	财报	c=4 d=2.04734e-165 t=389086
cai bu guan 	才不管	c=1 d=9.53221e-290 t=389086
cai cai 	猜猜	c=1 d=6.28354e-152 t=389086
cai ce 	猜测	c=1 d=0 t=389086
cai dan 	菜单	c=3 d=1.17727 t=389086
cai dao 	才到	c=2 d=7.63832e-243 t=389086
cai dao 	菜刀	c=2 d=1.95939e-257 t=389086
cai dui 	才对	c=72 d=0.0626626 t=389086
cai duo shao 	才多少	c=1 d=1.76569e-71 t=389086
cai fang 	采访	c=3 d=4.54308e-13 t=389086
cai fu 	财富	c=3 d=7.10226e-93 t=389086
cai fu zi you 	财富自由	c=1 d=7.70278e-283 t=389086
cai gou 	菜狗	c=1 d=1.83189e-151 t=389086
cai gou 	采购	c=2 d=3.72669e-153 t=389086
cai hao 	才好	c=4 d=1.00825e-67 t=389086
cai hong 	彩虹	c=5 d=5.13913e-126 t=389086
cai hui 	才会	c=47 d=0.0286953 t=389086
cai hui 	才回	c=1 d=0 t=389086
cai huo yue 	才活跃	c=1 d=3.71086e-103 t=389086
cai jiu duo lian 	才就多连	c=1 d=2.16581e-121 t=389086
cai jiu duo nian 	菜就多年	c=1 d=7.13405e-263 t=389086
cai kai shi 	才开始	c=2 d=1.34087e-274 t=389086
cai kuang 	采矿	c=1 d=0 t=389086
cai lai 	才来	c=4 d=8.52261e-32 t=389086
cai liao 	材料	c=1 d=2.21498e-91 t=389086
cai neng 	才能	c=76 d=0.948165 t=389086
cai neng fa 	才能发	c=1 d=5.07727e-203 t=389086
cai neng yong 	才能用	c=3 d=3.75555e-38 t=389086
cai piao 	彩票	c=3 d=1.51649 t=389086
cai qu 	才去	c=2 d=6.36333e-124 t=389086
cai se 	彩色	c=2 d=4.69779e-289 t=389086
cai shi 	才是	c=61 d=0.895924 t=389086
cai shi chang 	菜市场	c=1 d=1.29469e-156 t=389086
cai shuo 	才说	c=2 d=7.17173e-178 t=389086
cai suan 	才算	c=1 d=0 t=389086
cai wu 	财务	c=2 d=0 t=389086
cai xing 	才行	c=82 d=0.900325 t=389086
cai yao 	菜肴	c=1 d=8.75325e-52 t=389086
cai yong 	采用	c=2 d=9.1254e-130 t=389086
cai you 	才有	c=54 d=0.0617291 t=389086
cai you yong 	才有用	c=1 d=1.12663e-226 t=389086
cai yuan 	裁员	c=15 d=2.88962e-72 t=389086
cai zhi dao 	才知道	c=6 d=0.955997 t=389086
cai zhun 	才准	c=1 d=2.44702e-116 t=389086
cai zi 	才子	c=1 d=6.18874e-179 t=389086
cai zou 	才走	c=1 d=3.93685e-122 t=389086
can 	参	c=5 d=4.15675e-85 t=389086
can 	惨	c=1 d=1.4073e-49 t=389086
can 	残	c=1 d=1.43179e-193 t=389086
can 	餐	c=5 d=4.59191e-168 t=389086
can dan 	惨淡	c=1 d=1.01188e-80 t=389086
can guan 	参观	c=1 d=1.15892e-88 t=389086
can jia 	参加	c=3 d=2.42786e-53 t=389086
can jiao 	惨叫	c=1 d=3.23696e-172 t=389086
can kao 	参考	c=35 d=3.83219e-11 t=389086
can kao xi 	参考系	c=1 d=0 t=389086
can pin 	参聘	c=1 d=0 t=389086
can shu 	参数	c=305 d=5.22785e-05 t=389086
can xuan 	参选	c=1 d=9.73526e-97 t=389086
can yu 	参与	c=3 d=2.70363e-54 t=389086
cang 	仓	c=6 d=4.09025e-13 t=389086
cang 	藏	c=3 d=2.40946e-228 t=389086
cang a 	藏啊	c=1 d=9.41483e-115 t=389086
cang ku 	仓库	c=45 d=4.5485e-27 t=389086
cang shu 	仓鼠	c=2 d=9.15281e-224 t=389086
cang yong 	藏用	c=1 d=1.90517e-230 t=389086
cao 	操	c=9 d=3.04606e-104 t=389086
cao 	槽	c=1 d=4.03037e-251 t=389086
cao 	艹	c=1 d=1.26699e-225 t=389086
cao 	草	c=7 d=4.29704e-05 t=389086
cao gao 	草稿	c=3 d=4.76114e-182 t=389086
cao guo 	草果	c=2 d=1.25422e-304 t=389086
cao zuo 	操作	c=66 d=0.0587295 t=389086
ce 	测	c=652 d=0.978275 t=389086
ce bian lan 	侧边栏	c=2 d=2.19819e-266 t=389086
ce chu 	测出	c=5 d=9.35922e-16 t=389086
ce hua 	策划	c=1 d=3.49394e-159 t=389086
ce hui 	测绘	c=2 d=1.30958e-261 t=389086
ce lue 	策略	c=188 d=3.17243e-05 t=389086
ce ping 	测评	c=1 d=2.2854e-165 t=389086
ce shi 	测试	c=1665 d=5.40379 t=389086
ce shi huan jing 	测试环境	c=1 d=7.39086e-91 t=389086
ce shi me 	测试么	c=1 d=2.02945e-150 t=389086
ce shi qian 	测试前	c=1 d=0 t=389086
ce shi xia 	测试下	c=1 d=0 t=389086
ce shi yi xia 	测试一下	c=1 d=0 t=389086
ce suo 	厕所	c=12 d=1.53423e-65 t=389086
ceng 	层	c=37 d=1.07229e-27 t=389086
ceng 	蹭	c=4 d=2.08482e-99 t=389086
ceng ji 	层级	c=1 d=3.34361e-171 t=389086
ceng jing 	曾经	c=0 d=1.33762e-129 t=389086
ceng mian 	层面	c=2 d=3.53529e-121 t=389086
cha 	差	c=53 d=0.839457 t=389086
cha 	插	c=21 d=1.67482e-41 t=389086
cha 	查	c=523 d=0.185659 t=389086
cha 	茶	c=1 d=1.69628e-11 t=389086
cha ba 	插拔	c=3 d=6.54743e-245 t=389086
cha bie 	差别	c=6 d=4.71468e-08 t=389086
cha bu dao 	查不到	c=13 d=4.87317e-44 t=389086
cha bu duo 	差不多	c=181 d=1.08548 t=389086
cha cha 	查查	c=5 d=1.25766e-50 t=389086
cha cuo 	差错	c=1 d=3.44599e-26 t=389086
cha dao 	查到	c=9 d=2.76265e-14 t=389086
cha dian 	差点	c=17 d=7.78378e-24 t=389086
cha jian 	插件	c=448 d=0.0376354 t=389086
cha jian ba 	插件吧	c=1 d=2.3254e-222 t=389086
cha jian lai zhe 	插件来着	c=1 d=7.55999e-210 t=389086
cha jin qu 	插进去	c=1 d=0 t=389086
cha ju 	差距	c=10 d=2.19122e-23 t=389086
cha kan 	查看	c=156 d=0.000217133 t=389086
cha kou 	插口	c=1 d=6.47905e-42 t=389086
cha liu shui 	差流水	c=2 d=2.93199e-08 t=389086
